Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13
5000.0,1.0,1.0,1.0,1.0,1.0,168.0,1,4997.239302,2744.407607,10799.872066,2957.21016,11836.528974,3450.427177,3189.976756,12581.9085,3633.865902,2459.802861,61302.912309,13592.912733,3235.900887
,,,,,,,2,4996.741196,2731.168287,10658.280712,2916.375735,11674.004299,3396.002586,3158.220536,12418.679604,3619.875474,2356.553417,56732.433855,13333.044375,3188.247228
,,,,,,,3,4999.684788,2723.296678,10564.952255,2887.660347,11586.77856,3367.320835,3142.908928,12274.994023,3628.202333,2300.618358,53876.53414,13337.481688,3135.307745
,,,,,,,4,5011.920351,2734.485061,10459.15387,2845.457521,11548.880068,3339.989005,3143.522142,12120.251777,3671.41873,2279.983458,52427.654156,13626.779584,3119.912577
,,,,,,,5,5054.837891,2771.606895,10352.491327,2821.9498,11471.171922,3233.562041,3150.829059,12333.882998,3771.002068,2279.266939,51999.474,14763.456845,3126.747104
,,,,,,,6,5118.819054,2844.369674,10953.811179,2994.348161,11605.852847,3181.082955,3178.10366,12490.086643,3973.310016,2310.205944,52068.18259,17890.063557,3198.843851
,,,,,,,7,5165.045217,2922.719055,11984.934409,3299.51812,12080.959265,3353.306309,3254.560825,12549.417196,4180.119626,2406.674052,51836.299975,19777.421846,3323.427946
,,,,,,,8,5174.095782,2958.422275,12568.71435,3484.989595,12641.059192,3519.783987,3309.838894,12511.427934,4310.15644,2567.800413,52107.997662,20792.39278,3488.167213
,,,,,,,9,5169.744659,2984.004972,12929.384604,3592.725998,13279.414626,3639.737983,3365.429192,12556.937691,4366.205211,2751.256552,55579.164432,21434.777718,3635.663506
,,,,,,,10,5162.888087,2998.886239,13242.496987,3698.543524,14007.779695,3788.243132,3437.760036,12646.748279,4375.907434,2905.057372,60442.730034,21552.618377,3719.832353
,,,,,,,11,5160.060665,3000.893195,13347.784123,3756.639437,14483.859107,3851.187069,3512.793905,12737.451919,4353.234731,2995.787245,65549.564802,21833.27792,3758.29342
,,,,,,,12,5155.810793,2998.367328,13356.958923,3741.110696,14663.083826,3866.825034,3531.782904,12798.855831,4341.700868,3017.147698,68974.830573,22062.002505,3775.161527
,,,,,,,13,5156.678384,2991.987182,13304.213567,3751.505408,14737.378831,3897.43383,3566.707129,12758.533526,4376.669786,3004.295057,71100.220002,22295.834951,3789.266863
,,,,,,,14,5161.350392,3009.984425,13344.396426,3757.935618,14868.596079,3943.891724,3610.69568,12932.369945,4448.798344,2983.458789,70386.297739,22062.247695,3803.432199
,,,,,,,15,5168.691085,3046.063013,13678.187881,3852.144239,15137.501124,4026.31918,3650.556238,13180.596998,4706.004671,2969.252025,68220.726981,22121.639527,3901.262663
,,,,,,,16,5177.431057,3073.381642,14062.199824,3964.508072,15534.313036,4110.907065,3636.509128,13432.650838,5037.328185,2990.729609,67091.654189,23230.523133,4076.950324
,,,,,,,17,5184.982302,3049.499451,14465.545095,4074.73661,15582.691001,4130.766958,3589.801584,13560.44773,4901.78535,3138.568056,67785.921164,23093.059141,4141.154622
,,,,,,,18,5177.359759,2987.798087,14438.89937,4048.715492,15190.502191,4069.45383,3508.069737,13524.674261,4641.023064,3367.538043,71312.131051,22805.361561,4109.783955
,,,,,,,19,5157.451738,2917.001922,14188.101702,3967.221735,14663.383061,3984.91459,3427.762966,13405.586019,4412.381324,3374.683596,76396.416433,22759.501476,4006.786198
,,,,,,,20,5136.958639,2837.670823,13802.360457,3856.772918,14260.748618,3910.65373,3368.648975,13116.570577,4230.514833,3223.409901,77356.047338,22076.392557,3859.748787
,,,,,,,21,5105.036978,2770.59301,13312.929343,3733.097347,13926.68288,3849.785605,3334.265584,13391.189545,4045.92561,3054.961318,74253.441671,20541.740416,3677.37698
,,,,,,,22,5066.842628,2695.336249,12679.771799,3570.046576,13482.417341,3786.959495,3298.183416,13339.44872,3894.260425,2909.273083,69682.572808,19113.50214,3571.882609
,,,,,,,23,5031.654061,2631.947948,12067.482882,3377.564272,13002.03691,3709.840345,3260.807215,13043.936107,3867.974662,2733.569237,66627.83362,17498.247826,3410.388376
,,,,,,,24,5005.503361,2616.907623,11608.923559,3244.997046,12620.281369,3628.823998,3225.248258,12774.364703,3747.481577,2559.674458,64012.803976,19641.369334,3286.512091
,,,,,,,25,5133.567757,2750.152895,12097.950375,3407.113938,12641.513854,3827.46173,3209.429325,13214.629517,3692.631777,2580.087381,72907.183445,19091.857504,3297.108958
,,,,,,,26,5127.120993,2730.700941,11977.313936,3375.904076,12485.739872,3778.081959,3169.611392,13064.225402,3688.567883,2481.76449,68312.750985,18712.451818,3247.860473
,,,,,,,27,5126.304027,2725.764518,11900.875894,3359.129848,12460.88273,3763.997882,3157.899831,13031.631062,3730.455206,2437.803344,65656.039852,18752.686014,3213.612094
,,,,,,,28,5131.833588,2739.226817,11892.57075,3376.967802,12590.212021,3778.409418,3180.62365,13251.740474,3890.952442,2440.159818,64514.813715,18908.512065,3286.753549
,,,,,,,29,5172.268366,2785.348011,12041.322797,3499.015711,13062.710754,3863.499763,3255.786713,13984.497795,4330.31743,2484.039982,64775.518291,19688.833212,3576.316852
,,,,,,,30,5263.858288,2891.136241,12625.682292,3797.198338,14187.339245,4083.290946,3408.726263,14384.606572,4862.326529,2615.617929,66250.834949,22215.774597,4008.760476
,,,,,,,31,5370.127876,3013.966057,13350.014063,4098.396611,15455.402774,4363.722898,3598.339001,14438.766083,5121.43275,2915.45177,69247.728785,23881.879976,4397.026063
,,,,,,,32,5429.797222,3066.621234,13770.331397,4239.922809,16044.658533,4495.74505,3678.866774,14283.58944,5194.192094,3232.304343,75694.189863,24688.468505,4636.911608
,,,,,,,33,5448.181751,3100.169776,14083.39158,4332.866447,16355.618437,4565.944218,3717.034897,14222.364037,5269.978726,3382.121663,81925.138978,25073.633028,4734.904834
,,,,,,,34,5457.718586,3122.241578,14347.874166,4421.153066,16705.608055,4649.773461,3756.140615,14250.71438,5251.101368,3458.371074,85237.62244,25119.981335,4737.749893
,,,,,,,35,5469.441236,3131.862397,14453.150018,4455.248131,16866.993682,4673.617665,3787.98477,14297.402218,5150.980736,3494.1558,87750.289917,25340.223409,4688.628944
,,,,,,,36,5474.269767,3124.969505,14479.616279,4440.801529,16822.120478,4667.241528,3779.748658,14304.973394,5134.695353,3469.55493,89879.035822,25527.235784,4688.964888
