Zone,Network_zones,Line,Network_Lines,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,Line_Max_Flow_MW,Line_Loss_Percentage,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MWyr,Capital_Recovery_Period,Line_Max_Flow_Possible_MW
SE1,z1,SE1_SE2,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,3300.0,0.0225,0.0,56715.0,0.0,0.0
SE2,z2,SE2_SE3,2,0,1,-1,0,0,0,0,0,0,0,0,0,0,9300.0,0.0225,0.0,55786.0,0.0,0.0
SE3,z3,SE3_SE4,3,0,0,1,-1,0,0,0,0,0,0,0,0,0,5400.0,0.0225,0.0,70643.0,0.0,0.0
SE4,z4,SE1_NO4,4,1,0,0,0,0,0,-1,0,0,0,0,0,0,600.0,0.0225,0.0,21475.0,0.0,0.0
NO125,z5,SE2_NO4,5,0,1,0,0,0,0,-1,0,0,0,0,0,0,250.0,0.0225,0.0,27208.0,0.0,0.0
NO3,z6,SE2_NO3,6,0,1,0,0,0,-1,0,0,0,0,0,0,0,1000.0,0.0225,0.0,27208.0,0.0,0.0
NO4,z7,SE3_NO125,7,0,0,1,0,-1,0,0,0,0,0,0,0,0,2100.0,0.0225,0.0,27208.0,0.0,0.0
FI,z8,NO4_NO3,8,0,0,0,0,0,-1,1,0,0,0,0,0,0,2166.0,0.0225,0.0,55786.0,0.0,0.0
DK1,z9,NO3_NO125,9,0,0,0,0,-1,1,0,0,0,0,0,0,0,2166.0,0.0225,0.0,55786.0,0.0,0.0
DK2,z10,SE1_FI,10,1,0,0,0,0,0,0,-1,0,0,0,0,0,2800.0,0.0225,0.0,31303.0,0.0,0.0
DE,z11,SE3_FI,11,0,0,1,0,0,0,0,-1,0,0,0,0,0,1200.0,0.01125,0.0,60788.0,0.0,0.0
PL,z12,SE4_DK2,12,0,0,0,1,0,0,0,0,0,-1,0,0,0,1300.0,0.01125,0.0,87996.0,0.0,0.0
BT,z13,SE3_DK1,13,0,0,1,0,0,0,0,0,-1,0,0,0,0,715.0,0.01125,0.0,54236.0,0.0,0.0
,,NO125_DK1,14,0,0,0,0,1,0,0,0,-1,0,0,0,0,1680.0,0.02,0.0,15000.0,0.0,0.0
,,DK1_DK2,15,0,0,0,0,0,0,0,0,1,-1,0,0,0,600.0,0.02,0.0,15000.0,0.0,0.0
,,SE4_DE,16,0,0,0,1,0,0,0,0,0,0,-1,0,0,550.0,0.0113,0.0,87996.0,0.0,0.0
,,DK2_DE,17,0,0,0,0,0,0,0,0,0,1,-1,0,0,985.0,0.02,0.0,15000.0,0.0,0.0
,,DK1_DE,18,0,0,0,0,0,0,0,0,1,0,-1,0,0,2500.0,0.02,0.0,15000.0,0.0,0.0
,,NO125_DE,19,0,0,0,0,1,0,0,0,0,0,-1,0,0,1400.0,0.02,0.0,15000.0,0.0,0.0
,,SE4_PL,20,0,0,0,1,0,0,0,0,0,0,0,-1,0,600.0,0.0113,0.0,87996.0,0.0,0.0
,,DE_PL,21,0,0,0,0,0,0,0,0,0,0,1,-1,0,4500.0,0.02,0.0,15000.0,0.0,0.0
,,SE4_BT,22,0,0,0,1,0,0,0,0,0,0,0,0,-1,630.0,0.0113,0.0,101919.0,0.0,0.0
,,PL_BT,23,0,0,0,0,0,0,0,0,0,0,0,1,-1,500.0,0.02,0.0,15000.0,0.0,0.0
,,FI_BT,24,0,0,0,0,0,0,0,1,0,0,0,0,-1,1716.0,0.0113,0.0,50141.0,0.0,0.0
,,SE2_FI,25,0,1,0,0,0,0,0,-1,0,0,0,0,0,0.001,0.0225,0.0,59969.0,0.0,0.0
