Resource,Zone,New_Build,THERM,Cap_Size,VRE,Num_VRE_Bins,MUST_RUN,STOR,FLEX,HYDRO,LDS,Existing_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Heat_Rate_MMBTU_per_MWh,Fuel,Self_Disch,Min_Power,Ramp_Up_Percentage,Ramp_Dn_Percentage,Eff_Up,Eff_Down,Hydro_Energy_to_Power_Ratio,Min_Duration,Max_Duration,Max_Flexible_Demand_Delay,Max_Flexible_Demand_Advance,Flexible_Demand_Energy_Eff,Up_Time,Down_Time,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Reg_Cost,Rsv_Cost,Reg_Max,Rsv_Max,CapRes_1,region,cluster,WACC,Capital_Recovery_Period,Lifetime,Min_Retired_Cap_MW,Min_Retired_Energy_Cap_MW,Min_Retired_Charge_Cap_MW,RETRO,Num_RETRO_Sources,Retro1_Source,Retro1_Efficiency,Retro1_Inv_Cost_per_MWyr,Retro2_Source,Retro2_Efficiency,Retro2_Inv_Cost_per_MWyr,Retro3_Source,Retro3_Efficiency,Retro3_Inv_Cost_per_MWyr
nuclear_SE1,1,1,0,0,0,0,1,0,0,0,0,0.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,423759.245420,0.000000,0.000000,70000.000000,0.000000,0.000000,7.000000,0.000000,10.058824,uranium,0,0.5,0.2,0.2,1,1,0,1,1,0,0,1,8,24,500,0,0,0,1,1,1,None,1,0.05,40,60,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
nuclear_SE2,2,1,0,0,0,0,1,0,0,0,0,0.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,423759.245420,0.000000,0.000000,70000.000000,0.000000,0.000000,7.000000,0.000000,10.058824,uranium,0,0.5,0.2,0.2,1,1,0,1,1,0,0,1,8,24,500,0,0,0,1,1,1,None,1,0.05,40,60,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
nuclear_SE3,3,1,0,0,0,0,1,0,0,0,0,0.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,423759.245420,0.000000,0.000000,70000.000000,0.000000,0.000000,7.000000,0.000000,10.058824,uranium,0,0.5,0.2,0.2,1,1,0,1,1,0,0,1,8,24,500,0,0,0,1,1,1,None,1,0.05,40,60,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
nuclear_SE4,4,1,0,0,0,0,1,0,0,0,0,0.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,423759.245420,0.000000,0.000000,70000.000000,0.000000,0.000000,7.000000,0.000000,10.058824,uranium,0,0.5,0.2,0.2,1,1,0,1,1,0,0,1,8,24,500,0,0,0,1,1,1,None,1,0.05,40,60,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
nuclear_existing_SE3,3,0,0,0,0,0,1,0,0,0,0,6852.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,365538.447564,0.000000,0.000000,140000.000000,0.000000,0.000000,7.000000,0.000000,10.058824,uranium,0,0.5,0.2,0.2,1,1,0,1,1,0,0,1,8,24,500,0,0,0,1,1,1,None,1,0.05,40,60,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
thermal_SE1,1,-1,0,0,0,0,1,0,0,0,0,34.423013,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,None,1,0.05,30,30,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
thermal_SE2,2,-1,0,0,0,0,1,0,0,0,0,161.896419,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,None,1,0.05,30,30,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
thermal_SE3,3,-1,0,0,0,0,1,0,0,0,0,911.785921,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,None,1,0.05,30,30,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
thermal_SE4,4,-1,0,0,0,0,1,0,0,0,0,235.298689,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,None,1,0.05,30,30,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
hydro_SE1,1,-1,0,0,0,0,0,0,0,1,0,3560.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,0,0.12989225086486805,1,1,1,1,4157.303370786517,1,1,0,0,1,0,0,0,0,0,0,1,1,0,None,1,0.05,30,30,0,0,0,0,0,None,0,-1,None,0,-1,None,0,-1
