hydro_SE1,hydro_SE2,hydro_NO125,hydro_NO3,hydro_NO4
0.28642098,0.4572235411428571,0.28642098,0.28642098,0.28642098
0.28642098,0.45693032210714285,0.28642098,0.28642098,0.28642098
0.28642098,0.4566371030714286,0.28642098,0.28642098,0.28642098
0.28642098,0.45634388403571424,0.28642098,0.28642098,0.28642098
0.28642098,0.45605066499999997,0.28642098,0.28642098,0.28642098
0.28642098,0.4557574459642857,0.28642098,0.28642098,0.28642098
0.28642098,0.4554642269285714,0.28642098,0.28642098,0.28642098
0.28642098,0.45517100789285714,0.28642098,0.28642098,0.28642098
0.28642098,0.4548777888571428,0.28642098,0.28642098,0.28642098
0.28642098,0.45458456982142853,0.28642098,0.28642098,0.28642098
0.28642098,0.45429135078571425,0.28642098,0.28642098,0.28642098
0.28642098,0.45399813175,0.28642098,0.28642098,0.28642098
0.28642098,0.4537049127142857,0.28642098,0.28642098,0.28642098
0.28642098,0.4534116936785714,0.28642098,0.28642098,0.28642098
0.28642098,0.4531184746428571,0.28642098,0.28642098,0.28642098
0.28642098,0.4528252556071428,0.28642098,0.28642098,0.28642098
0.28642098,0.45253203657142854,0.28642098,0.28642098,0.28642098
0.28642098,0.45223881753571427,0.28642098,0.28642098,0.28642098
0.28642098,0.4519455985,0.28642098,0.28642098,0.28642098
0.28642098,0.4516523794642857,0.28642098,0.28642098,0.28642098
0.28642098,0.4513591604285714,0.28642098,0.28642098,0.28642098
0.28642098,0.4510659413928571,0.28642098,0.28642098,0.28642098
0.28642098,0.45077272235714283,0.28642098,0.28642098,0.28642098
0.28642098,0.45047950332142855,0.28642098,0.28642098,0.28642098
0.28642098,0.4501862842857143,0.28642098,0.28642098,0.28642098
0.28642098,0.44989306525,0.28642098,0.28642098,0.28642098
0.28642098,0.44959984621428567,0.28642098,0.28642098,0.28642098
0.28642098,0.4493066271785714,0.28642098,0.28642098,0.28642098
0.28642098,0.4490134081428571,0.28642098,0.28642098,0.28642098
0.28642098,0.44872018910714284,0.28642098,0.28642098,0.28642098
0.28642098,0.44842697007142857,0.28642098,0.28642098,0.28642098
0.28642098,0.4481337510357143,0.28642098,0.28642098,0.28642098
0.28642098,0.44784053199999996,0.28642098,0.28642098,0.28642098
0.28642098,0.4475473129642857,0.28642098,0.28642098,0.28642098
0.28642098,0.4472540939285714,0.28642098,0.28642098,0.28642098
0.28642098,0.44696087489285713,0.28642098,0.28642098,0.28642098
0.28642098,0.44666765585714285,0.28642098,0.28642098,0.28642098
0.28642098,0.4463744368214285,0.28642098,0.28642098,0.28642098
0.28642098,0.44608121778571425,0.28642098,0.28642098,0.28642098
0.28642098,0.44578799874999997,0.28642098,0.28642098,0.28642098
0.28642098,0.4454947797142857,0.28642098,0.28642098,0.28642098
0.28642098,0.4452015606785714,0.28642098,0.28642098,0.28642098
0.28642098,0.44490834164285714,0.28642098,0.28642098,0.28642098
0.28642098,0.4446151226071428,0.28642098,0.28642098,0.28642098
0.28642098,0.44432190357142853,0.28642098,0.28642098,0.28642098
0.28642098,0.44402868453571426,0.28642098,0.28642098,0.28642098
0.28642098,0.4437354655,0.28642098,0.28642098,0.28642098
0.28642098,0.4434422464642857,0.28642098,0.28642098,0.28642098
0.28642098,0.44314902742857143,0.28642098,0.28642098,0.28642098
0.28642098,0.4428558083928571,0.28642098,0.28642098,0.28642098
0.28642098,0.4425625893571428,0.28642098,0.28642098,0.28642098
0.28642098,0.44226937032142855,0.28642098,0.28642098,0.28642098
0.28642098,0.44197615128571427,0.28642098,0.28642098,0.28642098
0.28642098,0.44168293225,0.28642098,0.28642098,0.28642098
0.28642098,0.44138971321428566,0.28642098,0.28642098,0.28642098
0.28642098,0.4410964941785714,0.28642098,0.28642098,0.28642098
0.28642098,0.4408032751428571,0.28642098,0.28642098,0.28642098
0.28642098,0.44051005610714283,0.28642098,0.28642098,0.28642098
0.28642098,0.44021683707142856,0.28642098,0.28642098,0.28642098
0.28642098,0.4399236180357143,0.28642098,0.28642098,0.28642098
0.28642098,0.439630399,0.28642098,0.28642098,0.28642098
0.28642098,0.4393371799642857,0.28642098,0.28642098,0.28642098
0.28642098,0.4390439609285714,0.28642098,0.28642098,0.28642098
0.28642098,0.4387507418928571,0.28642098,0.28642098,0.28642098
0.28642098,0.43845752285714285,0.28642098,0.28642098,0.28642098
0.28642098,0.43816430382142857,0.28642098,0.28642098,0.28642098
0.28642098,0.43787108478571424,0.28642098,0.28642098,0.28642098
0.28642098,0.43757786574999996,0.28642098,0.28642098,0.28642098
0.28642098,0.4372846467142857,0.28642098,0.28642098,0.28642098
0.28642098,0.4369914276785714,0.28642098,0.28642098,0.28642098
0.28642098,0.43669820864285713,0.28642098,0.28642098,0.28642098
0.28642098,0.43640498960714286,0.28642098,0.28642098,0.28642098
0.28642098,0.4361117705714285,0.28642098,0.28642098,0.28642098
0.28642098,0.43581855153571425,0.28642098,0.28642098,0.28642098
0.28642098,0.4355253325,0.28642098,0.28642098,0.28642098
0.28642098,0.4352321134642857,0.28642098,0.28642098,0.28642098
0.28642098,0.4349388944285714,0.28642098,0.28642098,0.28642098
0.28642098,0.43464567539285714,0.28642098,0.28642098,0.28642098
0.28642098,0.4343524563571428,0.28642098,0.28642098,0.28642098
0.28642098,0.43405923732142854,0.28642098,0.28642098,0.28642098
0.28642098,0.43376601828571426,0.28642098,0.28642098,0.28642098
0.28642098,0.43347279925,0.28642098,0.28642098,0.28642098
0.28642098,0.4331795802142857,0.28642098,0.28642098,0.28642098
0.28642098,0.4328863611785714,0.28642098,0.28642098,0.28642098
0.28642098,0.4325931421428571,0.28642098,0.28642098,0.28642098
0.28642098,0.4322999231071428,0.28642098,0.28642098,0.28642098
0.28642098,0.43200670407142855,0.28642098,0.28642098,0.28642098
0.28642098,0.4317134850357143,0.28642098,0.28642098,0.28642098
0.28642098,0.431420266,0.28642098,0.28642098,0.28642098
0.28642098,0.4311270469642857,0.28642098,0.28642098,0.28642098
0.28642098,0.4308338279285714,0.28642098,0.28642098,0.28642098
0.28642098,0.4305406088928571,0.28642098,0.28642098,0.28642098
0.28642098,0.43024738985714284,0.28642098,0.28642098,0.28642098
0.28642098,0.42995417082142856,0.28642098,0.28642098,0.28642098
0.28642098,0.4296609517857143,0.28642098,0.28642098,0.28642098
0.28642098,0.42936773274999995,0.28642098,0.28642098,0.28642098
0.28642098,0.4290745137142857,0.28642098,0.28642098,0.28642098
0.28642098,0.4287812946785714,0.28642098,0.28642098,0.28642098
