Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17
5000,1,1,1,1,8760,8760,1,12135.676543885325,4487.929064794354,17390.03037956924,4501.910312534102,15880.111851521962,3018.3005469824707,3407.845899273348,18779.037899460563,5716.147167229389,4319.766860227459,141155.8655902151,14563.55212363283,3702.685789148442,84164.75162552905,123008.70663553654,47975.881253519074,25413.709060015917
,,,,,,,2,12129.906966,4476.498763,17297.085347,4479.375341,15757.976560,2954.095172,3352.582334,18682.930541,5698.211111,4232.363311,139790.223975,14428.371839,3644.429288,81464.138265,120759.519662,46010.901654,25085.996354
,,,,,,,3,12120.021456,4454.639609,17130.803954,4429.091939,15696.728824,2916.952841,3328.669706,18510.955825,5708.801897,4194.682750,138232.408469,14543.448781,3606.234870,79869.439229,116131.175805,43465.760274,24726.986014
,,,,,,,4,12095.341757,4399.019620,16723.544413,4306.285077,15684.666104,2873.393956,3337.131430,18183.231221,5785.964134,4197.854758,135101.240001,14844.997177,3619.213747,76398.699050,110706.952708,40636.064613,24215.210899
,,,,,,,5,12123.333915,4420.494812,16763.395129,4371.806178,15689.559368,2697.904969,3375.435530,18018.543914,6007.439071,4231.061407,137727.829184,15976.958126,3759.658301,71520.358264,106273.911196,38230.148703,23561.231169
,,,,,,,6,12075.436287,4308.030868,15795.852021,4067.284830,15940.450733,2556.461341,3471.632057,17922.144848,6360.560091,4344.746994,134325.231112,19113.984514,3985.385775,68445.735561,104742.672349,36093.529536,23473.900544
,,,,,,,7,12090.009320,4331.447253,15966.013781,4114.300497,16442.952577,2714.245269,3647.112904,17740.849986,6712.401970,4621.516719,137763.947887,21012.809549,4207.918335,64899.261248,102998.496565,34004.416050,24075.715129
,,,,,,,8,12088.068879,4345.551356,16141.950725,4146.540070,16877.411811,2908.762225,3753.408261,17622.768007,6918.809644,4926.523116,139481.721464,22310.303656,4375.543928,63364.153173,104084.714332,33628.036044,24849.208314
,,,,,,,9,12077.782935,4341.497014,16259.410259,4168.953693,17332.486729,3051.282099,3832.620911,17642.484284,7027.792061,5084.795114,138883.079208,23065.159243,4490.687758,64629.198051,107379.253352,35737.766851,25314.862454
,,,,,,,10,12059.841562,4317.952522,16157.464862,4113.887467,17913.866533,3224.887022,3922.434821,17728.595660,7041.774752,5151.045964,137511.812864,23254.676235,4547.415164,66771.254817,109893.444547,38182.639530,25486.612996
