Region,Resource,Zone,Cluster,AnnualSum
None,nuclear_SE1,1,1,2.2675265687010174e9
None,nuclear_SE2,2,1,0.0
None,nuclear_SE3,3,1,7.214276365167516e8
None,nuclear_SE4,4,1,6.09475075735502e8
None,nuclear_existing_SE3,3,1,3.6097752082919083e9
None,thermal_SE1,1,1,2.2060386568018768e7
None,thermal_SE2,2,1,1.0184452940847012e8
None,thermal_SE3,3,1,5.835722204139692e8
None,thermal_SE4,4,1,1.502837940801111e8
None,hydro_SE1,1,1,1.6880481974022064e9
None,hydro_SE2,2,1,2.9156117507220244e9
None,hydro_flex_SE1,1,1,3.204307909946541e8
None,hydro_flex_SE2,2,1,3.145360781836422e8
None,hydro_SE3,3,1,7.533078330169425e8
None,hydro_SE4,4,1,1.0306509394002561e8
None,gas_OC_SE1,1,1,0.0
None,gas_OC_SE2,2,1,0.0
None,gas_OC_SE3,3,1,0.0
None,gas_OC_SE4,4,1,0.0
None,biogas_OC_SE1,1,1,0.0
None,biogas_OC_SE2,2,1,0.0
None,biogas_OC_SE3,3,1,0.0
None,biogas_OC_SE4,4,1,0.0
None,biomass_SE1,1,1,0.0
None,biomass_SE2,2,1,0.0
None,biomass_SE3,3,1,0.0
None,biomass_SE4,4,1,0.0
None,wind_offshore_existing_SE1,1,1,0.0
None,wind_offshore_existing_SE2,2,1,0.0
None,wind_offshore_existing_SE3,3,1,0.0
None,wind_offshore_existing_SE4,4,1,0.0
None,wind_offshore_SE1,1,1,0.0
None,wind_offshore_SE2,2,1,0.0
None,wind_offshore_SE3,3,1,0.0
None,wind_offshore_SE4,4,1,0.0
None,wind_onshore_existing_SE1,1,1,0.0
None,wind_onshore_existing_SE2,2,1,0.0
None,wind_onshore_existing_SE3,3,1,0.0
None,wind_onshore_existing_SE4,4,1,0.0
None,wind_onshore_SE1,1,1,1.3517490074068017e9
None,wind_onshore_SE2,2,1,2.0742977811896145e9
None,wind_onshore_SE3,3,1,2.0498178971324332e9
None,wind_onshore_SE4,4,1,7.250633897423811e8
None,solar_existing_SE1,1,1,0.0
None,solar_existing_SE2,2,1,0.0
None,solar_existing_SE3,3,1,0.0
None,solar_existing_SE4,4,1,0.0
None,solar_SE1,1,1,0.0
None,solar_SE2,2,1,0.0
None,solar_SE3,3,1,9.283936417553295e8
None,solar_SE4,4,1,5.612180244694677e7
None,battery_storage_SE1,1,1,1.937798848392347e-10
None,battery_storage_SE2,2,1,-2.1939833422017655e-10
None,battery_storage_SE3,3,1,1.0069946692075989e-10
None,battery_storage_SE4,4,1,4.509984758836622e-11
None,hydrogen_OC_storage_SE1,1,1,0.0
None,hydrogen_OC_storage_SE2,2,1,0.0
None,hydrogen_OC_storage_SE3,3,1,0.0
None,hydrogen_OC_storage_SE4,4,1,0.0
None,hydrogen_CC_storage_SE1,1,1,0.0
None,hydrogen_CC_storage_SE2,2,1,0.0
None,hydrogen_CC_storage_SE3,3,1,0.0
