region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_Charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_Charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
None,nuclear_SE1,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,nuclear_SE2,2,1,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,nuclear_SE3,3,1,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,nuclear_SE4,4,1,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,nuclear_existing_SE3,3,1,5,0,0,0,9.5928e8,0.0,0.0,3.3074498595683986e8,2.2918577424236295e8,0.0,0.0,0.0,3.6097752082919083e9,0.0,0.0,0.0,0.0,0.0,3.6097752082919083e9,1.5192107601992028e9,2.0905644480927055e9
None,thermal_SE1,1,1,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2060386568018768e7,0.0,0.0,0.0,0.0,0.0,2.2060386568018768e7,0.0,2.2060386568018768e7
None,thermal_SE2,2,1,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0184452940847012e8,0.0,0.0,0.0,0.0,0.0,1.0184452940847012e8,0.0,1.0184452940847012e8
None,thermal_SE3,3,1,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.835722204139692e8,0.0,0.0,0.0,0.0,0.0,5.835722204139692e8,0.0,5.835722204139692e8
None,thermal_SE4,4,1,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.502837940801111e8,0.0,0.0,0.0,0.0,0.0,1.502837940801111e8,0.0,1.502837940801111e8
None,hydro_SE1,1,1,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6880481974022064e9,0.0,0.0,0.0,0.0,0.0,1.6880481974022064e9,0.0,1.6880481974022064e9
None,hydro_SE2,2,1,11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9156117507220244e9,0.0,0.0,0.0,0.0,0.0,2.9156117507220244e9,0.0,2.9156117507220244e9
None,hydro_flex_SE1,1,1,12,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.204307909946541e8,0.0,0.0,0.0,0.0,0.0,3.204307909946541e8,0.0,3.204307909946541e8
None,hydro_flex_SE2,2,1,13,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.145360781836422e8,0.0,0.0,0.0,0.0,0.0,3.145360781836422e8,0.0,3.145360781836422e8
None,hydro_SE3,3,1,14,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.533078330169425e8,0.0,0.0,0.0,0.0,0.0,7.533078330169425e8,0.0,7.533078330169425e8
None,hydro_SE4,4,1,15,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0306509394002561e8,0.0,0.0,0.0,0.0,0.0,1.0306509394002561e8,0.0,1.0306509394002561e8
None,gas_OC_SE1,1,1,16,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,gas_OC_SE2,2,1,17,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,gas_OC_SE3,3,1,18,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,gas_OC_SE4,4,1,19,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,biogas_OC_SE1,1,1,20,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,biogas_OC_SE2,2,1,21,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,biogas_OC_SE3,3,1,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,biogas_OC_SE4,4,1,23,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,biomass_SE1,1,1,24,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,biomass_SE2,2,1,25,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,biomass_SE3,3,1,26,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,biomass_SE4,4,1,27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,wind_offshore_existing_SE1,1,1,28,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,wind_offshore_existing_SE2,2,1,29,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,wind_offshore_existing_SE3,3,1,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,wind_offshore_existing_SE4,4,1,31,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,wind_offshore_SE1,1,1,32,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,wind_offshore_SE2,2,1,33,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,wind_offshore_SE3,3,1,34,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,wind_offshore_SE4,4,1,35,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,wind_onshore_existing_SE1,1,1,36,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,wind_onshore_existing_SE2,2,1,37,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,wind_onshore_existing_SE3,3,1,38,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
