Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
nuclear_SE1,1,0.0,0.0,3861.6631941383484,3861.6631941383484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuclear_SE2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuclear_SE3,3,0.0,0.0,1228.6120875606348,1228.6120875606348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuclear_SE4,4,0.0,0.0,1037.9536452623584,1037.9536452623584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuclear_existing_SE3,3,6852.0,0.0,0.0,6852.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thermal_SE1,1,34.423013,0.0,0.0,34.423013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thermal_SE2,2,161.896419,0.0,0.0,161.896419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thermal_SE3,3,911.785921,0.0,0.0,911.785921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thermal_SE4,4,235.298689,0.0,0.0,235.298689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydro_SE1,1,3560.0,0.0,0.0,3560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydro_SE2,2,5733.0,0.0,0.0,5733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydro_flex_SE1,1,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydro_flex_SE2,2,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydro_SE3,3,2290.0,0.0,0.0,2290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydro_SE4,4,240.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gas_OC_SE1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gas_OC_SE2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gas_OC_SE3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gas_OC_SE4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biogas_OC_SE1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biogas_OC_SE2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biogas_OC_SE3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biogas_OC_SE4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_SE1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_SE2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_SE3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_SE4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore_existing_SE1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore_existing_SE2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore_existing_SE3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore_existing_SE4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore_SE1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore_SE2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore_SE3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore_SE4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore_existing_SE1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore_existing_SE2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore_existing_SE3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore_existing_SE4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore_SE1,1,0.0,0.0,8160.0,8160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore_SE2,2,0.0,0.0,11400.0,11400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore_SE3,3,0.0,0.0,10320.0,10320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore_SE4,4,0.0,0.0,3600.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_existing_SE1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_existing_SE2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_existing_SE3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_existing_SE4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_SE1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_SE2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_SE3,3,0.0,0.0,18137.25895438438,18137.25895438438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_SE4,4,0.0,0.0,1096.4052511632026,1096.4052511632026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery_storage_SE1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery_storage_SE2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery_storage_SE3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery_storage_SE4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_OC_storage_SE1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_OC_storage_SE2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_OC_storage_SE3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_OC_storage_SE4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_CC_storage_SE1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_CC_storage_SE2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_CC_storage_SE3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_CC_storage_SE4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydro_pumped_storage_SE1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydro_pumped_storage_SE2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydro_pumped_storage_SE3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydro_pumped_storage_SE4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burning_NO125,5,150.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burning_NO3,6,37.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burning_NO4,7,211.0,0.0,0.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
must_run_NO125,5,1340.4973,0.0,0.0,1340.4973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
must_run_NO3,6,180.27704,0.0,0.0,180.27704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
must_run_NO4,7,94.816839,0.0,0.0,94.816839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydro_NO125,5,18000.0,0.0,0.0,18000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydro_NO3,6,3560.0,0.0,0.0,3560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydro_NO4,7,5170.0,0.0,0.0,5170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydro_flex_NO125,5,2000.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydro_flex_NO3,6,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydro_flex_NO4,7,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore_existing_NO125,5,44.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore_existing_NO3,6,44.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore_NO125,5,3906.974395,0.0,0.0,3906.974395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore_NO3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore_existing_NO125,5,130.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore_existing_NO3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore_existing_NO4,7,19.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore_NO125,5,1967.313423,0.0,0.0,1967.313423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore_NO3,6,1620.943335,0.0,0.0,1620.943335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore_NO4,7,998.441999,0.0,0.0,998.441999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_existing_NO125,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_existing_NO3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_existing_NO4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
