Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,Total
AnnualSum,597052.4363249377,789544.4122350514,378166.4822685267,88443.7697625894,22682.17317327396,134636.27153004098,218675.8565836953,41185.86350293868,41933.47361850194,343125.28333199536,97676.59951395368,0.0,91617.36194536103,53505.936250266415,199849.88970864812,69141.12239386498,42535.47828662722,120613.1204056919,272860.73762258113,163386.54720333742,49175.14772699861,607112.2928044472,48637.89489310657,74566.15076442125,117401.88467274864,97202.57251940126,166580.96456689198,176328.90166270107,621744.9615296122,810172.5178388908,415155.35851918504,65925.14117508045,83980.97886424836,532600.8826372145,7.633218465836832e6
t1,0.0,74.36712699826552,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,8.04375,0.0,11.834198480126672,2.4350105249207656,0.0,0.0,0.0,6.779999999999999,90.0,7.119,2.038074348753682,19.3908,0.0,15.451573749038936,28.0,80.0,100.0,52.0,0.0,0.0,0.0,524.4595341011056
t2,0.0,64.87335014103527,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,8.04375,0.0,4.942194589288888,5.676813295284881,0.0,0.0,28.0,6.779999999999999,90.0,7.119,10.0,19.3908,0.0,25.323793599392307,28.0,80.0,100.0,52.0,0.0,0.0,0.0,557.1497016250014
t3,0.0,66.59011927576954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.707370994189992,0.0,0.0,8.04375,30.02352914656251,1.1963620894929214,5.866726537603976,0.0,0.0,0.0,6.779999999999999,90.0,7.119,10.0,19.3908,0.0,0.0,0.0,80.0,100.0,52.0,0.0,0.0,0.0,487.71765804361894
t4,0.0,66.73050943117954,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,1.6561616980967095,8.04375,8.65585788691485,0.0,3.232977242687267,0.0,0.0,0.0,6.779999999999999,90.0,6.221171270224304,10.0,19.3908,0.0,0.0,28.0,80.0,100.0,52.0,0.0,14.0,0.0,521.7112275291026
t5,0.0,67.84607647342304,0.0,13.5,0.0,0.0,0.0,0.0,0.0,30.86945631090397,13.5,0.0,3.1262060987832205,3.5599427043301577,11.60145957359646,0.0,0.03265037193500878,0.0,0.0,0.0,6.779999999999999,90.0,3.0842647958891543,10.0,19.3908,0.0,0.0,0.0,80.0,100.0,52.0,0.0,0.0,0.0,505.29085632886097
t6,0.0,66.13953160310062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,5.523331111236921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.779999999999999,90.0,0.7271732919326145,10.0,17.38637720179673,0.0,6.554878405021772,28.0,80.0,100.0,52.0,0.0,0.0,0.0,476.61129161308867
t7,0.0,66.3179984499382,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,3.568217268663199,0.0,0.0,4.656148070420818,0.0,0.0,4.972217658435757,0.0,6.779999999999999,90.0,0.0,10.0,9.196157885552813,0.0,0.0,28.0,80.0,100.0,52.0,0.0,0.0,0.0,482.49073933301077
t8,0.0,69.0766214733075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,4.263386164049662,0.0,0.0,0.05209929170967618,0.0,0.0,24.299439086326686,0.0,6.779999999999999,90.0,0.0,10.0,1.9948437089605178,0.0,0.0,28.0,80.0,100.0,52.0,0.0,0.0,0.0,479.96638972435403
t9,0.0,75.4200561445018,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,1.211391362387321,0.0,0.0,0.0,5.8250297182667135,0.0,33.91460273421415,28.0,6.779999999999999,90.0,2.9324325119684196,10.0,0.0,0.0,0.0,28.0,80.0,100.0,52.0,0.0,0.0,0.0,541.0835124713384
t10,0.0,72.83203976897572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.9869950868890056,2.703850415957429,0.0,0.0,3.9820284943757183,0.0,29.71719032890834,0.0,6.779999999999999,90.0,5.461393435225938,10.0,0.0,0.0,0.0,28.0,80.0,100.0,52.0,0.0,0.0,64.61725961909616,560.5807571494283
t11,0.0,73.63003356748266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,8.262451499909266,0.0,5.192326434134244,4.258030044997569,6.215,19.7,50.0,28.0,6.779999999999999,90.0,7.119,10.0,0.1883592160526085,20.0,28.0,28.0,80.0,100.0,52.0,14.0,14.0,12.923280246902957,671.7684810094793
t12,0.0,72.50012080340832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,7.6414618343152965,0.0,18.349595581938786,10.397034366996136,6.215,19.7,50.0,28.0,6.779999999999999,49.74728813478515,7.119,10.0,1.1512349180950274,20.0,28.0,28.0,80.0,100.0,52.0,14.0,14.0,100.0,737.1007356395387
t13,0.0,61.39769356498694,13.089700851978904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,14.625,8.04375,33.6,9.310608393968309,6.215,19.7,50.0,28.0,6.779999999999999,90.0,7.119,10.0,2.2782287555624783,20.0,2.269123716559035,28.0,80.0,100.0,52.0,14.0,14.0,100.0,783.9281052830556
t14,0.0,64.38108210157228,6.521138648629039,13.5,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,11.480909743747418,6.922842641836665,33.6,12.0,6.215,19.7,50.0,28.0,6.779999999999999,90.0,7.119,10.0,3.171899533892565,20.0,0.0,28.0,80.0,100.0,52.0,14.0,14.0,75.84308390677036,766.7349565764483
t15,0.0,71.58102208635296,1.777438433856268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,10.330985176598263,0.0,32.97223524673267,12.0,6.215,19.7,50.0,28.0,6.779999999999999,90.0,7.119,10.0,5.185037159301744,20.0,0.0,28.0,80.0,100.0,52.0,14.0,14.0,1.8615969358772626,675.0223150387192
t16,0.0,80.08491799744931,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,4.443174288476826,8.04375,0.0,0.8708763444767729,6.215,0.0,50.0,28.0,6.779999999999999,90.0,6.368621643145308,10.0,7.805024125631997,0.0,0.0,0.0,80.0,100.0,52.0,0.0,0.0,79.60204987190626,637.2134142710865
t17,0.0,83.80323106161475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.47003571448387316,8.04375,0.0,3.7740403191919127,6.215,0.0,50.0,0.0,6.779999999999999,90.0,1.0148460427606354,10.0,13.519575935523045,0.0,0.0,0.0,80.0,100.0,52.0,0.0,0.0,65.91083859938188,585.031317672956
