region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_Charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_Charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
None,nuclear_SE1,1,1,1,1.3618606965319185e9,0.0,0.0,2.249632304004341e8,0.0,0.0,1.773610108477027e8,1.2290018690364377e8,0.0,0.0,0.0,1.887085124683711e9,0.0,0.0,0.0,0.0,0.0,1.887085124683711e9,1.8870851246836991e9,1.1920928955078125e-5
None,nuclear_SE2,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,nuclear_SE3,3,1,3,7.294710154235622e8,0.0,0.0,1.2049995754416962e8,0.0,0.0,9.500216652782339e7,6.583061275257628e7,0.0,0.0,0.0,1.0108037522481303e9,0.0,0.0,0.0,0.0,0.0,1.0108037522481303e9,1.0108037522481314e9,-1.0728836059570312e-6
None,nuclear_SE4,4,1,4,2.6159467748960572e8,0.0,0.0,4.321233724821146e7,0.0,0.0,3.4068606686489925e7,2.360743271198258e7,0.0,0.0,0.0,3.624830541362904e8,0.0,0.0,0.0,0.0,0.0,3.624830541362904e8,3.624830541362897e8,6.556510925292969e-7
None,nuclear_existing_SE3,3,1,5,0.0,0.0,0.0,9.5928e8,0.0,0.0,3.3074498595683986e8,2.2918577424236295e8,0.0,0.0,0.0,3.496351731527873e9,0.0,0.0,0.0,0.0,0.0,3.496351731527873e9,1.5192107601992028e9,1.9771409713286703e9
None,thermal_SE1,1,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.224017933238938e7,0.0,0.0,0.0,0.0,0.0,2.224017933238938e7,0.0,2.224017933238938e7
None,thermal_SE2,2,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0228938496168958e8,0.0,0.0,0.0,0.0,0.0,1.0228938496168958e8,0.0,1.0228938496168958e8
None,thermal_SE3,3,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.878839001429077e8,0.0,0.0,0.0,0.0,0.0,5.878839001429077e8,0.0,5.878839001429077e8
None,thermal_SE4,4,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.514128937266277e8,0.0,0.0,0.0,0.0,0.0,1.514128937266277e8,0.0,1.514128937266277e8
None,hydro_SE1,1,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3519168001851764e9,0.0,0.0,0.0,0.0,0.0,1.3519168001851764e9,0.0,1.3519168001851764e9
