Region,Resource,Zone,Cluster,R_ID,SubsidyRevenue
None,nuclear_SE1,1,1,1,0.0
None,nuclear_SE2,2,1,2,0.0
None,nuclear_SE3,3,1,3,0.0
None,nuclear_SE4,4,1,4,0.0
None,nuclear_existing_SE3,3,1,5,0.0
None,thermal_SE1,1,1,6,0.0
None,thermal_SE2,2,1,7,0.0
None,thermal_SE3,3,1,8,0.0
None,thermal_SE4,4,1,9,0.0
None,hydro_SE1,1,1,10,0.0
None,hydro_SE2,2,1,11,0.0
None,hydro_flex_SE1,1,1,12,0.0
None,hydro_flex_SE2,2,1,13,0.0
None,hydro_SE3,3,1,14,0.0
None,hydro_SE4,4,1,15,0.0
None,gas_OC_SE1,1,1,16,0.0
None,gas_OC_SE2,2,1,17,0.0
None,gas_OC_SE3,3,1,18,0.0
None,gas_OC_SE4,4,1,19,0.0
None,biogas_OC_SE1,1,1,20,0.0
None,biogas_OC_SE2,2,1,21,0.0
None,biogas_OC_SE3,3,1,22,0.0
None,biogas_OC_SE4,4,1,23,0.0
None,biomass_SE1,1,1,24,0.0
None,biomass_SE2,2,1,25,0.0
None,biomass_SE3,3,1,26,0.0
None,biomass_SE4,4,1,27,0.0
None,wind_offshore_existing_SE1,1,1,28,0.0
None,wind_offshore_existing_SE2,2,1,29,0.0
None,wind_offshore_existing_SE3,3,1,30,0.0
None,wind_offshore_existing_SE4,4,1,31,0.0
None,wind_offshore_SE1,1,1,32,0.0
None,wind_offshore_SE2,2,1,33,0.0
None,wind_offshore_SE3,3,1,34,0.0
None,wind_offshore_SE4,4,1,35,0.0
None,wind_onshore_existing_SE1,1,1,36,0.0
None,wind_onshore_existing_SE2,2,1,37,0.0
None,wind_onshore_existing_SE3,3,1,38,0.0
None,wind_onshore_existing_SE4,4,1,39,0.0
None,wind_onshore_SE1,1,1,40,0.0
None,wind_onshore_SE2,2,1,41,0.0
None,wind_onshore_SE3,3,1,42,0.0
None,wind_onshore_SE4,4,1,43,0.0
None,solar_existing_SE1,1,1,44,0.0
None,solar_existing_SE2,2,1,45,0.0
None,solar_existing_SE3,3,1,46,0.0
None,solar_existing_SE4,4,1,47,0.0
None,solar_SE1,1,1,48,0.0
None,solar_SE2,2,1,49,0.0
None,solar_SE3,3,1,50,0.0
None,solar_SE4,4,1,51,0.0
None,battery_storage_SE1,1,1,52,0.0
None,battery_storage_SE2,2,1,53,0.0
None,battery_storage_SE3,3,1,54,0.0
None,battery_storage_SE4,4,1,55,0.0
None,hydrogen_OC_storage_SE1,1,1,56,0.0
None,hydrogen_OC_storage_SE2,2,1,57,0.0
None,hydrogen_OC_storage_SE3,3,1,58,0.0
None,hydrogen_OC_storage_SE4,4,1,59,0.0
None,hydrogen_CC_storage_SE1,1,1,60,0.0
None,hydrogen_CC_storage_SE2,2,1,61,0.0
None,hydrogen_CC_storage_SE3,3,1,62,0.0
None,hydrogen_CC_storage_SE4,4,1,63,0.0
None,hydro_pumped_storage_SE1,1,1,64,0.0
None,hydro_pumped_storage_SE2,2,1,65,0.0
None,hydro_pumped_storage_SE3,3,1,66,0.0
None,hydro_pumped_storage_SE4,4,1,67,0.0
None,burning_NO125,5,1,68,0.0
None,burning_NO3,6,1,69,0.0
None,burning_NO4,7,1,70,0.0
None,must_run_NO125,5,1,71,0.0
None,must_run_NO3,6,1,72,0.0
None,must_run_NO4,7,1,73,0.0
None,hydro_NO125,5,1,74,0.0
None,hydro_NO3,6,1,75,0.0
None,hydro_NO4,7,1,76,0.0
None,hydro_flex_NO125,5,1,77,0.0
None,hydro_flex_NO3,6,1,78,0.0
None,hydro_flex_NO4,7,1,79,0.0
None,wind_offshore_existing_NO125,5,1,80,0.0
None,wind_offshore_existing_NO3,6,1,81,0.0
None,wind_offshore_NO125,5,1,82,0.0
None,wind_offshore_NO3,6,1,83,0.0
None,wind_onshore_existing_NO125,5,1,84,0.0
None,wind_onshore_existing_NO3,6,1,85,0.0
None,wind_onshore_existing_NO4,7,1,86,0.0
None,wind_onshore_NO125,5,1,87,0.0
None,wind_onshore_NO3,6,1,88,0.0
None,wind_onshore_NO4,7,1,89,0.0
None,solar_existing_NO125,5,1,90,0.0
None,solar_existing_NO3,6,1,91,0.0
None,solar_existing_NO4,7,1,92,0.0
None,solar_NO125,5,1,93,0.0
None,solar_NO3,6,1,94,0.0
None,solar_NO4,7,1,95,0.0
None,nuclear_existing_FI,8,1,96,0.0
None,nuclear_FI,8,1,97,0.0
None,thermal_FI,8,1,98,0.0
None,coal_hard_FI,8,1,99,0.0
None,gas_FI,8,1,100,0.0
None,gas_OC_FI,8,1,101,0.0
None,hydro_FI,8,1,102,0.0
None,wind_offshore_existing_FI,8,1,103,0.0
None,wind_offshore_FI,8,1,104,0.0
None,wind_onshore_existing_FI,8,1,105,0.0
None,wind_onshore_FI,8,1,106,0.0
None,solar_existing_FI,8,1,107,0.0
None,solar_FI,8,1,108,0.0
None,battery_FI,8,1,109,0.0
None,hydrogen_storage_FI,8,1,110,0.0
