Resource,Zone,AnnualSum,Capacity,CapacityFactor
nuclear_SE1,1,2.533728726395753e7,3213.7604342919158,0.9000000000000024
nuclear_SE2,2,0.0,0.0,0.0
nuclear_SE3,3,1.3571738075403342e7,1721.4279649167088,0.9000000000000006
nuclear_SE4,4,4.866943812355704e6,617.319103545878,0.9000000000000004
nuclear_existing_SE3,3,4.724928370811998e7,6852.0,0.7871794874429221
thermal_SE1,1,301545.5938800053,34.423013,1.0000000000000175
thermal_SE2,2,1.4182126304399762e6,161.896419,0.9999999999999832
thermal_SE3,3,7.987244667959645e6,911.785921,0.9999999999999556
thermal_SE4,4,2.061216515640054e6,235.298689,1.0000000000000262
hydro_SE1,1,1.412625414778049e7,3560.0,0.45297362076665154
hydro_SE2,2,2.658517839806289e7,5733.0,0.5293629367999033
hydro_flex_SE1,1,4.38e6,1000.0,0.5
hydro_flex_SE2,2,4.38e6,1000.0,0.5
hydro_SE3,3,9.756810294210007e6,2290.0,0.4863716722602744
hydro_SE4,4,1.2069385368000036e6,240.0,0.5740765490867598
gas_OC_SE1,1,0.0,0.0,0.0
gas_OC_SE2,2,0.0,0.0,0.0
gas_OC_SE3,3,0.0,0.0,0.0
gas_OC_SE4,4,0.0,0.0,0.0
biogas_OC_SE1,1,0.0,0.0,0.0
biogas_OC_SE2,2,0.0,0.0,0.0
biogas_OC_SE3,3,0.0,0.0,0.0
biogas_OC_SE4,4,0.0,0.0,0.0
biomass_SE1,1,0.0,0.0,0.0
biomass_SE2,2,0.0,0.0,0.0
biomass_SE3,3,0.0,0.0,0.0
biomass_SE4,4,0.0,0.0,0.0
wind_offshore_existing_SE1,1,0.0,0.0,0.0
wind_offshore_existing_SE2,2,0.0,0.0,0.0
wind_offshore_existing_SE3,3,0.0,0.0,0.0
wind_offshore_existing_SE4,4,0.0,0.0,0.0
wind_offshore_SE1,1,0.0,0.0,0.0
wind_offshore_SE2,2,0.0,0.0,0.0
wind_offshore_SE3,3,0.0,0.0,0.0
wind_offshore_SE4,4,231499.38584985465,74.34520604912711,0.35546166236115506
wind_onshore_existing_SE1,1,0.0,0.0,0.0
wind_onshore_existing_SE2,2,0.0,0.0,0.0
wind_onshore_existing_SE3,3,0.0,0.0,0.0
wind_onshore_existing_SE4,4,0.0,0.0,0.0
wind_onshore_SE1,1,2.2484048097309053e7,8160.0,0.31454315652292414
wind_onshore_SE2,2,3.431486282419262e7,11400.0,0.3436159459283888
wind_onshore_SE3,3,3.288054150594454e7,10320.0,0.3637099295815252
wind_onshore_SE4,4,1.2365539196435193e7,3600.0,0.39210867568604746
solar_existing_SE1,1,0.0,0.0,0.0
solar_existing_SE2,2,0.0,0.0,0.0
solar_existing_SE3,3,0.0,0.0,0.0
solar_existing_SE4,4,0.0,0.0,0.0
solar_SE1,1,6.22295739981173e6,6693.1079573638945,0.10613653168960355
solar_SE2,2,8.402257779174889e6,8603.063795988772,0.11149072815024194
solar_SE3,3,1.5090510534130607e7,14554.509687414846,0.11835926162236111
solar_SE4,4,0.0,0.0,0.0
battery_storage_SE1,1,0.0,0.0,0.0
battery_storage_SE2,2,0.0,0.0,0.0
battery_storage_SE3,3,-5.684341886080802e-14,0.0,0.0
battery_storage_SE4,4,0.0,0.0,0.0
hydrogen_OC_storage_SE1,1,0.0,0.0,0.0
hydrogen_OC_storage_SE2,2,0.0,0.0,0.0
hydrogen_OC_storage_SE3,3,0.0,0.0,0.0
hydrogen_OC_storage_SE4,4,0.0,0.0,0.0
hydrogen_CC_storage_SE1,1,0.0,0.0,0.0
hydrogen_CC_storage_SE2,2,0.0,0.0,0.0
hydrogen_CC_storage_SE3,3,0.0,0.0,0.0
hydrogen_CC_storage_SE4,4,0.0,0.0,0.0
hydro_pumped_storage_SE1,1,0.0,0.0,0.0
hydro_pumped_storage_SE2,2,0.0,0.0,0.0
hydro_pumped_storage_SE3,3,0.0,0.0,0.0
hydro_pumped_storage_SE4,4,0.0,0.0,0.0
burning_NO125,5,1.314e6,150.0,1.0
burning_NO3,6,324120.0,37.0,1.0
burning_NO4,7,1.84836e6,211.0,1.0
must_run_NO125,5,9.43071149553358e6,1340.4973,0.8031088456621003
must_run_NO3,6,1.0992751725016034e6,180.27704,0.6960843898401815
must_run_NO4,7,468786.00013808865,94.816839,0.5643974650684925
hydro_NO125,5,6.933621947219636e7,18000.0,0.4397274192807988
hydro_NO3,6,1.2997950201974861e7,3560.0,0.4167933341662453
hydro_NO4,7,2.1137599289014906e7,5170.0,0.4667249430110248
hydro_flex_NO125,5,8.76e6,2000.0,0.5
hydro_flex_NO3,6,4.38e6,1000.0,0.5
hydro_flex_NO4,7,4.38e6,1000.0,0.5
wind_offshore_existing_NO125,5,141216.69811078065,44.0,0.3663779008685675
wind_offshore_existing_NO3,6,139395.51169565617,44.0,0.36165294649142843
wind_offshore_NO125,5,1.6280843853393e7,3906.974395,0.47569900157497175
wind_offshore_NO3,6,0.0,0.0,0.0
wind_onshore_existing_NO125,5,310369.4591628576,130.0,0.27254079659541414
wind_onshore_existing_NO3,6,0.0,0.0,0.0
wind_onshore_existing_NO4,7,47757.31035000002,19.0,0.2869340924657536
wind_onshore_NO125,5,5.021705072379841e6,1967.313423,0.29138926059995107
wind_onshore_NO3,6,4.425666280747751e6,1620.943335,0.3116784127111144
wind_onshore_NO4,7,2.657251639098802e6,998.441999,0.30381256849315075
solar_existing_NO125,5,0.0,0.0,0.0
solar_existing_NO3,6,0.0,0.0,0.0
solar_existing_NO4,7,0.0,0.0,0.0
solar_NO125,5,8.14293019799998,0.008082,0.0
solar_NO3,6,63292.75182387296,67.999179,0.10625422374429218
solar_NO4,7,0.0,0.0,0.0
nuclear_existing_FI,8,3.499065847599399e7,4394.0,0.9090503882420089
nuclear_FI,8,3.354185827818005e7,4254.421395,0.9000000000000014
thermal_FI,8,1.150294176130463e7,1692.861952,0.7756812090182664
coal_hard_FI,8,0.0,0.0,0.0
gas_FI,8,0.0,0.0,0.0
gas_OC_FI,8,0.0,0.0,0.0
hydro_FI,8,1.3473849549599977e7,2400.0,0.6408794496575332
wind_offshore_existing_FI,8,0.0,0.0,0.0
wind_offshore_FI,8,0.0,0.0,0.0
wind_onshore_existing_FI,8,1.9787612379594804e6,1083.0,0.20857431769938486
wind_onshore_FI,8,5.066042311027081e7,19184.42508,0.30145043695467755
solar_existing_FI,8,0.0,0.0,0.0
solar_FI,8,572033.2437519312,606.671268,0.10763753295436868
battery_FI,8,1.5583747037880127e6,8800.0,0.0
hydrogen_storage_FI,8,0.0,0.0,0.0
must_run_DK1,9,2.143031677500001e6,700.0,0.3494833133561646
must_run_DK2,10,4.673738661000005e6,1000.0,0.533531810616439
coal_hard_DK1,9,0.0,0.0,0.0
gas_DK1,9,2.0132490951933502e6,700.0,0.3283185086747146
gas_DK2,10,781396.3739896666,260.0,0.3430788435149572
gas_CC_CCS_DK1,9,0.0,0.0,0.0
gas_CC_CCS_retrofit_DK2,10,0.0,0.0,0.0
wind_offshore_existing_DK1,9,0.0,0.0,0.0
wind_offshore_existing_DK2,10,0.0,0.0,0.0
wind_offshore_DK1,9,2.987105265682601e7,7096.514308,0.48050879204998465
wind_offshore_DK2,10,1.9660133497694213e7,5097.576938,0.4402694661017262
wind_onshore_existing_DK1,9,0.0,0.0,0.0
wind_onshore_existing_DK2,10,0.0,0.0,0.0
wind_onshore_DK1,9,1.4747576358614083e7,3895.152508,0.4322072831523682
wind_onshore_DK2,10,1.0638754892452154e6,349.815805,0.3471740610980388
solar_existing_DK1,9,0.0,0.0,0.0
solar_existing_DK2,10,0.0,0.0,0.0
solar_DK1,9,4.360370109889108e6,4080.934198,0.12197186252315799
solar_DK2,10,8.80873814157009e6,8802.707516,0.11423345748604856
battery_DK1,9,1.5585688679284311e6,3500.0,0.0
battery_DK2,10,1.5488633604616693e6,2200.0,0.0
nuclear_existing_DE,11,0.0,0.0,0.0
nuclear_DE,11,0.0,0.0,0.0
must_run_DE,11,8.106924893971035e7,9630.807967,0.9609246186073055
coal_lignite_DE,11,0.0,0.0,0.0
coal_hard_DE,11,0.0,0.0,0.0
coal_hard_CCS_DE,11,0.0,0.0,0.0
coal_hard_CCS_retrofit_DE,11,0.0,0.0,0.0
coal_lignite_CCS_DE,11,0.0,0.0,0.0
biogas_OC_DE,11,0.0,0.0,0.0
biomass_DE,11,0.0,0.0,0.0
biomass_CCS_DE,11,0.0,0.0,0.0
gas_CC_CCS_DE,11,1.196579225568287e8,25484.84805,0.5359882928770776
gas_CC_CCS_retrofit_DE,11,9.977605476840506e7,21982.60776,0.5181350963613144
gas_CC_DE,11,0.0,0.0,0.0
gas_CC_existing_DE,11,0.0,0.0,0.0
gas_OC_DE,11,0.0,0.0,0.0
gas_OC_existing_DE,11,0.0,0.0,0.0
wind_offshore_fixed_existing_DE,11,249.90575999999962,0.1,0.0
wind_offshore_fixed_DE,11,2.1198528480070263e8,69329.0,0.349049220740783
wind_offshore_floating_DE,11,0.0,0.0,0.0
wind_onshore_existing_DE,11,145.4633639999999,0.1,0.0
wind_onshore_DE,11,3.2742150083770347e8,142999.9,0.2613769915732255
solar_existing_DE,11,54.36557959999994,0.1,0.0
solar_DE,11,2.801611746594043e8,295708.2654,0.10815345053035726
hydro_pumped_storage_DE,11,1.2768300416855343e7,6400.0,0.0
battery_storage_DE,11,6.369475289872901e7,32106.29899,0.0
hydrogen_OC_storage_DE,11,0.0,0.0,0.0
hydrogen_CC_storage_DE,11,1.3874213489219932e7,33925.64384,0.0
nuclear_PL,12,9.804992883876002e7,12436.57139,0.9000000000000002
must_run_PL,12,5.0616555329041155e6,667.902266,0.8651184281963464
coal_lignite_PL,12,0.0,0.0,0.0
coal_hard_PL,12,0.0,0.0,0.0
gas_CC_CCS_PL,12,9.110272401782233e6,2029.289314,0.5124875131498404
gas_CC_PL,12,9.699350818420824e6,3400.0,0.32565642017260354
gas_OC_PL,12,111827.60347880745,400.0,0.03191427039920304
wind_offshore_existing_PL,12,0.0,0.0,0.0
wind_offshore_PL,12,0.0,0.0,0.0
wind_onshore_existing_PL,12,733575.6643178854,498.0,0.16815565098702698
wind_onshore_PL,12,6.510093541159535e7,28097.45893,0.2644941540790307
solar_existing_PL,12,0.0,0.0,0.0
solar_PL,12,9.791737759047309e6,11760.99571,0.09504112666632954
battery_PL,12,1.9790096841301206e7,11000.0,0.0
nuclear_BT,13,1.19574e7,1500.0,0.91
nuclear_new_BT,13,0.0,0.0,0.0
oilshale_BT,13,0.0,0.0,0.0
must_run_BT,13,5.724179004600007e6,1400.0,0.4667464941780828
gas_BT,13,0.0,0.0,0.0
wind_offshore_BT,13,260240.1921639206,281.519833,0.10552643548065135
wind_offshore_new_BT,13,0.0,0.0,0.0
wind_onshore_BT,13,1.5682003351347527e7,11686.69223,0.1531813275941592
wind_onshore_new_BT,13,0.0,0.0,0.0
solar_existing_BT,13,0.0,0.0,0.0
solar_BT,13,2.134977244840765e6,3020.370646,0.08069170712179453
nuclear_UK,14,8.2782e7,10500.0,0.9
coal_hard_UK,14,0.0,0.0,0.0
gas_CC_CCS_UK,14,1.909326553326171e8,40662.80062,0.5360173152927898
gas_CC_UK,14,266.99849107425626,0.108318015,0.0
gas_OC_UK,14,924053.4633995923,3295.06016,0.03201324105190294
wind_offshore_existing_UK,14,1.5315654331489425e7,4360.0,0.40100054280008757
wind_offshore_UK,14,1.309516943260569e8,32466.32614,0.46044087306771697
wind_onshore_existing_UK,14,1.776650405492827e6,707.0,0.28686559155555136
wind_onshore_UK,14,9.2335019953289e7,24193.0,0.4356850077265312
solar_existing_UK,14,0.0,0.0,0.0
solar_UK,14,8.648957135603903e7,86912.53517,0.11359970940856703
hydro_UK,14,6.017459763850498e6,3025.5,0.22704499440639261
hydro_pumped_UK,14,5.475356455332169e6,4500.0,0.0
battery_UK,14,7.283459416097343e6,41900.0,0.0
