Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,Total
AnnualSum,-2.6562016758210935e7,8.573933077660698e6,4.0389087387268036e6,-340955.4005754644,430807.3210934474,-4.623566799179994e6,1.2197320772074983e6,1.2267788108669731e6,-1.5506984861907181e6,-3.860627572466482e6,1.651154980906862e6,0.0,-3.217225551167325e6,-1.4192001782836735e6,-6.0757180709077045e6,850312.0933061659,-1.6112563143754923e6,-715741.8119881069,-8.717789056398839e6,-5.825981862932612e6,-2.4924677916405154e6,3.7616476197787747e6,-1.6502634133315678e6,1.6344089860723391e6,-3.721676395043202e6,-2.067066526418166e6,-3.341191731368493e6,1.1501199505480395e6,2.329454157058155e7,3.175688257632875e7,1.3205965320005229e7,-2.526563563939315e6,711260.9235055912,1.863585554570565e7,3.182230230787577e7
t1,0.0,7403.8196350945545,3032.2870551167744,0.0,0.0,-290.4842936188393,0.0,0.0,0.0,0.0,369.23465578542334,0.0,1300.0,715.0,1680.0,0.0,550.0,142.9722189693472,458.9471153419905,1400.0,-600.0,-4500.0,-630.0,500.0,-1290.0938481050084,-1000.0,0.0,-1400.0,0.0,5000.0,-2600.0,700.0,700.0,3008.6804930462263,14650.363031630468
t2,-2289.28734676898,6176.809559452566,3363.408601157571,0.0,0.0,-581.9151817248281,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,715.0,1680.0,95.0424890891916,550.0,0.0,2281.9616496858584,1400.0,-600.0,-4500.0,-630.0,500.0,-1301.526123313544,-1000.0,-1400.0,-1400.0,-1054.7479236473532,5000.0,-2600.0,700.0,700.0,3904.966120937127,11009.711844867608
t3,-3142.3060672849974,6558.084984134392,3330.470584363939,-354.1447798613323,0.0,-578.1673957439192,0.0,0.0,0.0,0.0,1200.0,0.0,1300.0,715.0,1680.0,466.2225473055551,550.0,0.0,2500.0,1400.0,-600.0,-4500.0,-630.0,500.0,-1300.553882684854,-1000.0,-756.1455075084959,-1400.0,-3539.901578608651,5000.0,-2600.0,700.0,700.0,5000.0,11198.558904111636
t4,-4774.3515609595415,4265.2524906114995,3218.7909196080864,0.0,250.0,-1000.0,0.0,0.0,585.8811149608111,713.3761427482127,1200.0,0.0,1300.0,492.2516255674166,0.0,600.0,550.0,155.65819410574224,2500.0,1400.0,-600.0,-4500.0,-630.0,500.0,-1125.9247315921718,-1000.0,-1400.0,-1400.0,-4000.0,5000.0,-2600.0,700.0,700.0,4055.3374504578533,5156.271645507908
t5,-4610.42526028062,2060.21635610717,2717.866972512553,600.0,250.0,-1000.0,0.0,0.0,791.1579395952334,0.0,1200.0,0.0,1300.0,0.0,-298.1972913631689,600.0,550.0,445.7074097020788,2500.0,1400.0,-600.0,-4500.0,-630.0,500.0,-691.3255690999844,-1000.0,-1400.0,-1400.0,-2488.0798165255487,5000.0,-2600.0,700.0,700.0,5000.0,5096.920740647713
t6,-4843.065036511014,2053.3352196078513,1786.393543146918,0.0,250.0,-1000.0,2100.0,0.0,983.0039874889889,166.9074940182624,1200.0,0.0,1300.0,0.0,-546.7806437358408,600.0,550.0,661.6410568563363,2500.0,1400.0,-600.0,-4500.0,-585.8557164378763,500.0,0.0,-1000.0,-1400.0,-1400.0,-4000.0,5000.0,0.0,700.0,700.0,2934.20929581387,5509.789200247496
t7,-6108.212926329729,0.0,1551.6838929210328,600.0,250.0,-1000.0,1175.0731379701836,0.0,932.2891029283561,0.0,1200.0,0.0,1300.0,0.0,-483.34536561782284,600.0,550.0,797.6460132348512,2500.0,1400.0,-600.0,-4500.0,0.0,500.0,32.63989630804285,-1000.0,-1400.0,-1400.0,-4000.0,5000.0,0.0,700.0,700.0,3078.074925488851,2375.8486769037645
t8,-6129.429914816188,0.0,1509.5637880188854,0.0,250.0,-1000.0,798.9090437494237,0.0,781.7745802307641,0.0,784.9541627601667,0.0,1300.0,0.0,-361.0720952201969,600.0,550.0,961.4928488172275,2500.0,1400.0,-600.0,-4500.0,0.0,500.0,247.42325043228882,-1000.0,-1400.0,-1400.0,-4000.0,5000.0,-2161.431156964468,700.0,700.0,3177.208053905445,-790.6074390866524
t9,-6164.824328685728,0.0,0.0,0.0,250.0,-1000.0,2100.0,0.0,655.2297494703784,0.0,-110.40041567493745,0.0,607.3379951728429,683.1492259932307,-1017.0334838408719,523.2421314417212,550.0,985.0,2500.0,1400.0,-600.0,-4500.0,-630.0,500.0,-152.2469695052474,-1000.0,-1400.0,-1400.0,-4000.0,5000.0,-2600.0,700.0,700.0,2688.1910145181655,-4732.355081110445
t10,-4598.84854108509,0.0,0.0,171.38729307545145,250.0,-1000.0,2100.0,0.0,489.32912834262555,-2292.4339196818933,0.0,0.0,438.23325781542934,-415.3445091060618,-1680.0,0.0,550.0,772.7252632263535,1950.5742372263526,-1400.0,-600.0,-4500.0,-630.0,500.0,-1716.0,-1000.0,-1400.0,-1400.0,0.0,5000.0,0.0,-700.0,0.0,-2018.7790471245548,-13129.156837311388
t11,-4553.039579743904,0.0,0.0,311.77048942118034,250.0,-1000.0,2100.0,0.0,433.40180633325076,-3000.0,-215.8882033999627,0.0,552.5174837471342,-323.12703399149825,-1680.0,0.0,550.0,0.0,539.4920084273776,-1400.0,-600.0,-4500.0,-630.0,500.0,-1716.0,-1000.0,-1400.0,-1400.0,4000.0,5000.0,1735.1467010635813,-700.0,0.0,-441.93892925315504,-8587.665257395996
t12,-4202.541677158753,-1640.338971550314,-1590.4981926489763,0.0,250.0,-1000.0,2100.0,0.0,386.2838851001436,-3000.0,231.31931095493104,0.0,-84.11349919313918,-715.0,-1680.0,0.0,-550.0,-985.0,-2500.0,-1400.0,-600.0,-4500.0,-630.0,500.0,-1716.0,0.0,-1400.0,0.0,4000.0,5000.0,2600.0,-700.0,-288.6207802303017,1062.7149294800076,-13051.7949952464
t13,-4501.454008144427,-1856.4843178229723,-1799.9834146325086,0.0,250.0,-1000.0,2100.0,0.0,338.01366358421757,-3000.0,138.98592537937523,0.0,-304.69308000457545,-715.0,-1680.0,0.0,-550.0,-985.0,-2500.0,-1400.0,-600.0,-4500.0,-630.0,500.0,-1716.0,0.0,-1400.0,0.0,4000.0,5000.0,1218.9740273267664,-700.0,-192.2666620868691,222.99774144923407,-16261.910124951759
t14,-4774.008757069368,-1319.0300700907114,-1279.4893061774087,0.0,250.0,-1000.0,2100.0,0.0,276.6796677498745,-3000.0,118.14005960548675,0.0,175.04717167808943,-715.0,-1680.0,0.0,-550.0,-985.0,-2500.0,-1400.0,-600.0,-4500.0,-630.0,500.0,-1716.0,0.0,-1400.0,0.0,4000.0,5000.0,623.8328409469689,-700.0,-223.87165890343337,780.1567374523956,-15148.543314808107
t15,-4918.834527528072,0.0,0.0,0.0,250.0,-1000.0,2100.0,0.0,87.21130880403476,-2808.955825314545,0.0,0.0,951.3997685807528,-297.33272014099055,-1680.0,0.0,0.0,-791.1336434662967,-2500.0,-1400.0,-600.0,-4500.0,-630.0,500.0,-1716.0,-1000.0,-1400.0,-1400.0,4000.0,5000.0,2600.0,-700.0,0.0,2515.8033599235405,-9337.842279141576
t16,-5646.49834369445,0.0,0.0,0.0,250.0,-1000.0,2100.0,235.07353795640964,0.0,-2438.8269756707036,0.0,0.0,509.1306188167454,-621.2074892461898,-1680.0,0.0,550.0,508.1915902412882,0.0,-1400.0,-600.0,-4500.0,-630.0,500.0,-1716.0,-1000.0,-1400.0,-1400.0,4000.0,5000.0,2600.0,-700.0,0.0,-1255.709197816041,-9735.846259412941
